SNo,BRate,Timestamp
1,,11-03-2025 11:14:43:330112
2,,11-03-2025 11:14:43:685365
3,,11-03-2025 11:14:44:036614
4,,11-03-2025 11:14:44:460915
5,,11-03-2025 11:14:44:907234
6,,11-03-2025 11:14:45:298510
7,,11-03-2025 11:14:45:735820
8,,11-03-2025 11:14:46:093074
9,,11-03-2025 11:14:46:426310
10,,11-03-2025 11:14:46:750543
11,,11-03-2025 11:14:47:045751
12,,11-03-2025 11:14:47:450040
13,,11-03-2025 11:14:47:868336
14,,11-03-2025 11:14:48:232595
15,,11-03-2025 11:14:48:522799
16,,11-03-2025 11:14:48:826015
17,,11-03-2025 11:14:49:137237
18,,11-03-2025 11:14:49:438451
19,,11-03-2025 11:14:49:884767
20,17,11-03-2025 11:14:50:273043
21,17,11-03-2025 11:14:50:667323
22,17,11-03-2025 11:14:51:034583
23,17,11-03-2025 11:14:51:437886
24,17,11-03-2025 11:14:51:834151
25,17,11-03-2025 11:14:52:197409
26,17,11-03-2025 11:14:52:550662
27,17,11-03-2025 11:14:52:940938
28,17,11-03-2025 11:14:53:291190
29,17,11-03-2025 11:14:53:669471
30,17,11-03-2025 11:14:54:038723
31,17,11-03-2025 11:14:54:437001
32,17,11-03-2025 11:14:54:836285
33,17,11-03-2025 11:14:55:222561
34,17,11-03-2025 11:14:55:602830
35,17,11-03-2025 11:14:55:992108
36,17,11-03-2025 11:14:56:317339
37,19,11-03-2025 11:14:56:701608
38,19,11-03-2025 11:14:57:044853
39,19,11-03-2025 11:14:57:413114
40,20,11-03-2025 11:14:57:775373
41,20,11-03-2025 11:14:58:147639
42,20,11-03-2025 11:14:58:506894
43,20,11-03-2025 11:14:58:874155
44,20,11-03-2025 11:14:59:223400
45,20,11-03-2025 11:14:59:584656
46,20,11-03-2025 11:14:59:974934
47,20,11-03-2025 11:15:00:345266
48,21,11-03-2025 11:15:00:701535
49,21,11-03-2025 11:15:01:075785
50,21,11-03-2025 11:15:01:436042
51,21,11-03-2025 11:15:01:816311
